image_path,labels
images/train/00000000--2-_jpg.rf.006b0e44c427734464f36d583684b1c3.jpg,"bread,egg,non_milk_based_beverage,tomato"
images/train/00000000--2-_jpg.rf.3cc3cb2462482883e68408e473cf0dc6.jpg,chocolate
images/train/00000000--2-_jpg.rf.3e287c553b2caef69c03436f50138043.jpg,milk_based_beverage
images/train/00000000--2-_jpg.rf.5a79ebc04dcca03713fe49e65715589a.jpg,milk_based_beverage
images/train/00000000--2-_jpg.rf.82b8f09cbd489e7fc2a0828cba916f05.jpg,chocolate
images/train/00000000--2-_jpg.rf.92399daa5ab950bd9e37c2de60fb385f.jpg,chocolate
images/train/00000000--2-_jpg.rf.98b65c0a8f092f23365e75019b4841f7.jpg,"bread,egg,non_milk_based_beverage,tomato"
images/train/00000000--2-_jpg.rf.bad7bef6f29bf9db3721f194b396e0e4.jpg,"bread,egg,non_milk_based_beverage,tomato"
images/train/00000000--2-_jpg.rf.fd1df84e94504648c6a0d020db598103.jpg,milk_based_beverage
images/train/00000000_jpg.rf.00b2f6313741db3d549b0ca7beb4330f.jpg,eggplant
images/train/00000000_jpg.rf.07cff5159697fe0029448205a917a485.jpg,pasta
images/train/00000000_jpg.rf.0e8fe0c59c7e5db5c1c58b3120c3c5d4.jpg,roti
images/train/00000000_jpg.rf.12050c8f801a90fa04883e778d1bca44.jpg,raw_meat
images/train/00000000_jpg.rf.143dba0fd1522295860c69d6cb8c859f.jpg,alcohol_glass
images/train/00000000_jpg.rf.1a030addee3ece06a44a7b90781817a6.jpg,alcohol_glass
images/train/00000000_jpg.rf.1c6c663121d2ac12fe023bac4578ee1d.jpg,roti
images/train/00000000_jpg.rf.2cb8ba6bfcb3efe796b430cff659391a.jpg,tomato
images/train/00000000_jpg.rf.315bb996853999133943735ba669159f.jpg,chocolate
images/train/00000000_jpg.rf.367ab21f19bffedcb97f92f1a7fa8f10.jpg,dates
images/train/00000000_jpg.rf.3dd2ba053a748f66995deec802936cb3.jpg,capsicum
images/train/00000000_jpg.rf.47a96e4b53804eeecd378af441319b0d.jpg,mushroom
images/train/00000000_jpg.rf.48f11f057813b111a65a1ca70911114c.jpg,dates
images/train/00000000_jpg.rf.4d89a826c93592d011e94a9a492685a6.jpg,mushroom
images/train/00000000_jpg.rf.80d9d7b66994d93062377125b3f44fc6.jpg,dates
images/train/00000000_jpg.rf.87a9359afd0092e825caaec064c0dccf.jpg,chocolate
images/train/00000000_jpg.rf.88d8fdd5078450941ddce61b9c0a3f8e.jpg,mushroom
images/train/00000000_jpg.rf.905726ecd7dd412aab98632633f9ac98.jpg,pasta
